team_name,player_name,player_id,player_role
Afghanistan,Hashmatullah Shahidi,440970,Top order Batter
Afghanistan,Rahmanullah Gurbaz,974087,Wicketkeeper Batter
Afghanistan,Ibrahim Zadran,921509,Opening Batter
Afghanistan,Reyaz Hassan,1061090,Batter
Afghanistan,Rahmat Shah Zurmati,533956,Allrounder
Afghanistan,Najibullah Zadran,524049,Middle order Batter
Afghanistan,Mohammad Nabi Eisakhil,25913,Allrounder
Afghanistan,Ikram Ali Khil,935553,Wicketkeeper Batter
Afghanistan,Azmatullah Omarzai,819429,Allrounder
Afghanistan,Rashid Khan Arman,793463,Bowling Allrounder
Afghanistan,Mujeeb ur Rahman,974109,Bowler
Afghanistan,Noor Ahmad Lakanwal,1182529,Bowler
Afghanistan,Fazalhaq Farooqi,974175,Bowler
Afghanistan,Abdul Rahman Rahmani,819507,Bowler
Afghanistan,Naveen ul Haq Murid,793447,Bowler
Australia,Pat Cummins,489889,Bowler
Australia,Steve Smith,7656,Opening Batter
Australia,Alex Carey,326434,Wicketkeeper Batter
Australia,Josh Inglis,662235,Wicketkeeper Batter
Australia,Sean Abbott,398666,Bowling Allrounder
Australia,Cameron Green,1076713,Batting Allrounder
Australia,Josh Hazlewood,288284,Bowler
Australia,Travis Head,530011,Middle order Batter
Australia,Marnus Labuschagne,787987,Batter
Australia,Mitch Marsh,272450,Allrounder
Australia,Glenn Maxwell,325026,Batting Allrounder
Australia,Marcus Stoinis,325012,Batting Allrounder
Australia,David Warner,219889,Opening Batter
Australia,Adam Zampa,379504,Bowler
Australia,Mitchell Starc,311592,Bowler
Bangladesh,Shakib Al Hasan,56143,Allrounder
Bangladesh,Litton Kumer Das,536936,Wicketkeeper Batter
Bangladesh,Tanzid Hasan Tamim,990023,Opening Batter
Bangladesh,Najmul Hossain Shanto,629058,Top order Batter
Bangladesh,Tawhid Hridoy,990031,Top order Batter
Bangladesh,Mushfiqur Rahim,56029,Wicketkeeper Batter
Bangladesh,Mahmudullah Riyad,56025,Allrounder
Bangladesh,Mehidy Hasan Miraz,629063,Allrounder
Bangladesh,Nasum Ahmed,348049,Bowler
Bangladesh,Shak Mahedi Hasan,833087,Allrounder
Bangladesh,Taskin Ahmed,538506,Bowler
Bangladesh,Mustafizur Rahman,330902,Bowler
Bangladesh,Hasan Mahmud,926629,Bowler
Bangladesh,Shoriful Islam,990039,Bowler
Bangladesh,Tanzim Hasan Sakib,1139520,Bowler
England,Jos Buttler,308967,Wicketkeeper Batter
England,Moeen Ali,8917,Batting Allrounder
England,Gus Atkinson,1039481,Bowler
England,Jonny Bairstow,297433,Wicketkeeper Batter
England,Harry Brook,911707,Batter
England,Sam Curran,662973,Allrounder
England,Liam Livingstone,403902,Batting Allrounder
